Code,Name,Product Group,Stock Unit,Part Number,DD Code,DMI Code,Schein Code,Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,DMI IE Notes,DMI UK Notes,DentalSky Notes,Dontalia Notes,Henry Schein Notes,DMI IE Product,DMI UK Product,DentalSky Product,Dontalia Product,Henry Schein Product,DMI IE Pack Flag,DMI UK Pack Flag,DentalSky Pack Flag,Dontalia Pack Flag,Henry Schein Pack Flag,DMI IE Adjusted Variance,DMI UK Adjusted Variance,DentalSky Adjusted Variance,Dontalia Adjusted Variance,Henry Schein Adjusted Variance
BOU012,Boutique Whitening Top Up Case By Night 16% CP 2x3ml,Boutique Whitening,Pack (2),UBPB162,PGB010,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
ABG356,Meditrade Nitril Sensory Blue Nitrile Glove Small - Box200,"APRONS, BIBS & GLOVES",Box (200),2283S,,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MIS040,Perfection Plus Sterilisation Pouches 85x253mm (PP002/5002),MISCELLANEOUS,Box (200),002/5002,,PERF-0025002,1099380,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
EMED018,"#Eire Septodont Septanest 1:100,000 2.2ml - Box50",MEDICINES,Box (50),11825O,,SEPT-11825O,09205,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
BOU009,Boutique Whitening Top Up Case By Night 16% CP 1x3ml,Boutique Whitening,Each,UBPB161,PGB009,BTQ-UBPB161,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
ABG357,Meditrade Nitril Sensory Blue Nitrile Glove Medium - Box200,"APRONS, BIBS & GLOVES",Box (200),2283M,,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
CSP165,Bossklein Max V-Wipes Lemon Refill (BOS9784) - Pack200,"CLEANING, STERILIZING PRODUCTS",Pack (200),BOS9784,CAW543,,9002095,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
EMED003,#Eire Septodont Lignospan 2% Special 2.2ml - Box50,MEDICINES,Box (50),LIGNO02S,,SEPT-5017C,09051,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
CSP327,Bossklein V-WIPE ZERO Refill Alcohol Free Large (BOS2001),"CLEANING, STERILIZING PRODUCTS",Each,BOS2001,CAW550,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
EMED002,#Eire Septodont Xylonor Gel 15g - Each,MEDICINES,Each,XYLON03S / 6,,SEPT-11162A,09406,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
CAW757,Clinell Universal Disinfectant Wipes Refill 250mm x 200mm,"CLEANING, STERILIZING PRODUCTS",Pack (100),CWTUB100R,CAW757,,1135636,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
BOU007,Boutique Whitening Top Up Case By Day 6% HP 1x3ml,Boutique Whitening,Each,UBPB061,PGB005,BTQ-UBPB061,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
BOU003,Boutique Whitening Kit By Night 16% CP 4x3ml,Boutique Whitening,Each,UBTK016,PGB002,BTQ-UBTK016,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED006,#Septodont Xylonor Gel 15g - Each,MEDICINES,Each,XYLON01,ACD435,SEPT-11162A,09406,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
BOU010,Boutique Whitening Top Up Case By Day 6% HP 2x3ml,Boutique Whitening,Pack (2),UBPB062,PGB006,BTQ-UBPB062,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
PHI147,Philips Zoom! NiteWhite ACP Take Home Mini Kit 16% (CP) NEW,PHI - Philips Soniccare & Zoom!,Each,881058511330,,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
CGD178,Meditrade Gentle Skin Compact+ Latex Gloves P/Free Medium,"APRONS, BIBS & GLOVES",Box (100),1221MI,CGD178,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
PHI150,Philips Zoom! NiteWhite ACP Take Home Standard 16% (CP) NEW,PHI - Philips Soniccare & Zoom!,Each,881073935010,,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
AA131,4T Medical FMS 32G Fine Micro Syringe 0.3ml - Box100,ANAESTHETIC ACCESSORIES,Box (100),4TM001,600039,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
CPP096,Perfection Plus Protect+ Blue Ear Loop Masks (002/0048) - 50,"COTTON, PAPER PRODUCTS",Box (50),002/0048,,PERF-0020048,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
BOU021,Boutique Whitening Top Up Case By Night 16% CP 3x3ml,Boutique Whitening,Pack (3),UBPB163,PGB019,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
CHM078,Meditrade Suavel Protec Type IIR Face Masks 3ply Ear Loop,"COTTON, PAPER PRODUCTS",Box (50),80-902,CHM078,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
